,토픽,검색어,발행일,언론사,타이틀,뉴스URL,요약키워드,컨텐트,제목내최초기업명,기업기준동일기사개수_이틀간,지피티스코어,제목스코어,크롤링일자,기업기준동일기사개수_일주일,뉴스전문,발행일시,인덱스,중복기업기사제거
32,IPO,기술특례상장,2023-06-15,쿠키뉴스,"경북도, ‘유망 중소·벤처기업 코스닥 상장 지원",http://www.kukinews.com/newsView/kuk202306150180,"[""경북도"", ""유망 중소·벤처기업"", ""코스닥 상장"", ""상장 지원사업"", ""IPO""]","경북도는 지역 유망 중소·벤처기업의 코스닥, 코넥스, 기술특례 등 상장(IPO)을 지원하는 ‘유망 중소·벤처기업 상장 지원사업’ 참여기업을 모집한다고 15일 밝혔다. 이번 사업은 주식 상장에 어려움을 겪고 있는 중소... ",경북도,2.0,7.0,1.0,2023-06-15,2.0,,2023-06-15 15:58:00,7.0,False
33,IPO,IPO 주관,2023-06-15,매일경제,[레이더M] 파두·사피엔 … 반도체가 하반기 IPO 이끈다,https://www.mk.co.kr/article/10761025,"[반도체], [IPO], [팹리스], [상장예비심사]","사피엔반도체, 이달 상장심사 '몸값 1조' 파두, 하반기 IPO 반도체IP기업도 코스닥 도전 상장 앞둔... 상장 주관은 하나증권이 맡았다. 사피엔반도체는 2017년 설립된 뒤 차세대 디스플레이로 평가받는... ",파두,1.0,9.5,1.0,2023-06-15,1.0,"사피엔반도체, 이달 상장심사'몸값 1조' 파두, 하반기 IPO반도체IP기업도 코스닥 도전상장 앞둔 반도체기업 흥행이하반기 IPO 부활 좌우할듯최근 국내 증시가 상승세를 이어가는 가운데 조 단위 대어로 꼽히는 파두를 비롯해 올해 하반기 반도체 관련 기업이 줄줄이 기업공개(IPO)에 도전할 것으로 전망된다. 연초부터 미래반도체, 기가비스 등이 연이어 흥행에 성공하고 인공지능(AI) 열풍에 힘입어 반도체 업종에 대한 시장의 기대감도 커지는 분위기다.15일 투자은행(IB) 업계에 따르면 사피엔반도체는 이달 말께 한국거래소에 상장예비심사를 청구할 예정이다. 상장 주관은 하나증권이 맡았다. 사피엔반도체는 2017년 설립된 뒤 차세대 디스플레이로 평가받는 마이크로발광다이오드(LED) 구동 반도체를 개발해왔다. 메타, 아마존, 화웨이, 삼성, LG 등 국내외 대기업을 고객사로 확보하며 기술력을 인정받은 팹리스(반도체 설계) 기업이다. 기업가치는 2000억원 수준으로 평가받는다. 이명희 사피엔반도체 대표는 ""상장사로서 지위를 확보하고 조달된 자금으로 미국과 유럽에 지사를 설치하는 등 해외 사업을 확대할 것""이라고 말했다.또 다른 팹리스 기업 파두는 이미 지난 3월 한국거래소에 상장예비심사를 청구했으며, 올해 하반기 IPO 시장에 나올 대어로 꼽힌다. 파두는 국내외 대기업에 데이터센터용 솔리드스테이트드라이브(SSD) 컨트롤러를 공급하고 있다. 2016년 SK쉴더스(당시 SK인포섹)에서 30억원을 전환사채(CB) 형태로 투자받았다. 올해 2월에는 상장 전 지분투자(프리IPO) 당시 포레스트파트너스, IBK캐피탈 등에서 기업가치 1조800억원을 인정받으며 유니콘(기업가치 1조원 이상 비상장기업)에 등극했다. 지난해 매출 564억원, 영업이익 15억원을 기록했다.지난달 한국거래소에 상장예비심사를 청구한 반도체 설계자산(IP) 기업 퀄리타스반도체도 올해 하반기 코스닥 상장을 추진한다. 반도체 IP는 반복 사용이 가능하도록 특정 기능을 회로로 구현한 범용 회로 블록으로, 시스템 반도체와 파운드리 산업의 핵심 인프라스트럭처다. 퀄리타스반도체는 2017년 삼성전자 출신의 IP 전문가들이 설립했으며, 2019년부터 삼성전자 파운드리 IP 핵심 파트너로 선정됐다. 김두호 퀄리타스반도체 대표는 ""구글·아마존·애플·테슬라 같은 빅테크 기업들이 자사 특화 반도체를 직접 만드는 파편화 추세와 초미세공정 확대로 팹리스 기업이 고객인 IP 산업도 급성장하고 있다""며 ""상장사로서의 지위와 자금 조달로 시장 공략을 가속화해 급성장을 지속할 것""이라고 설명했다. 이 밖에도 반도체 보호 코팅 소재를 만드는 '그린리소스', 초정밀 온습도 제어장비 업체 '워트', 반도체용 건식 세정기술 전문기업 '아이엠티' 등 반도체 '소부장(소재·부품·장비)' 기업도 올해 상반기 상장예비심사를 청구한 만큼 하반기 본격적인 상장 도전에 나설 것으로 예상된다.IPO 업계에서는 올해 하반기 시장 활성화에 반도체 기업들의 흥행 여부가 적지 않은 영향을 미칠 것으로 내다 보고 있다. IPO 시장이 얼어붙은 올해 1월 상장에 도전한 미래반도체는 희망가격 상단인 6000원으로 공모가를 확정한 뒤 '따상'에 성공해 현재 주당 2만8000원대를 기록하고 있다. 지난달에는 상반기 최대어로 꼽힌 반도체 회로 기판 검사 기업 기가비스가 흥행에 성공하며 공모가 기준 5000억원 이상의 기업가치를 인정받았다.더욱이 인공지능(AI) 열풍으로 국내외 증권시장에서 반도체 업종의 주목도도 갈수록 높아지고 있다. 올해 들어 엔비디아가 170% 급등했을 뿐 아니라 국내 증시에서도 동진쎄미켐, 이수페타시스, HPSP, 한미반도체 등 반도체 중견·중소기업에 대한 외국인의 매수세가 이어졌다. 한 증권사 관계자는 ""눈높이가 높아질 대로 높아진 2차전지는 호불호가 갈리는 반면, 반도체 업체들은 꾸준히 흥행 성공 사례가 나오고 있다""고 설명했다.[오대석 기자]",2023-06-15 17:40:00,29.0,False
34,IPO,IPO 수요예측,2023-06-15,딜사이트,"KB證, IPO 공백 채운 스팩…하반기 반전 '기대'",https://dealsite.co.kr/articles/105267,"[""KB증권"", ""IPO"", ""스팩"", ""기관투자가"", ""경쟁률""]",스팩 상장·합병 덕 수수료·시장 존재감 유지…하반기 IPO 집중 KB증권이 기업공개(IPO) 주관 공백을 스팩... 기관 수요예측에서 경쟁률 459대 1을 기록했다. 총 공모 예정 주식 400만주 중 기관투자가 배정 물량... ,kb,1.0,9.5,1.0,2023-06-15,2.0,,2023-06-15 06:26:00,27.0,True
35,IPO,IPO 수요예측,2023-06-15,이코노미스트,IPO도전장 내미는 2차전지 기대株 ‘필에너지’…투심 사로잡나,https://economist.co.kr/article/view/ecn202306150037,"[""필에너지"", ""2차전지"", ""IPO"", ""삼성SDI"", ""기업가치"", ""공모주식수"", ""희망공모가"", ""시가총액"", ""보호예수비율"", ""해외기관투자자""]",최근에는 해외 투자 수요가 늘면서 필에너지의 IPO 흥행 가능성이 점쳐지는 모양새다. 15일 투자은행(IB) 업계에 따르면 필에너지는 오는 6월 29일부터 30일까지 기관투자자를 대상으로 수요예측을 진행한다. 7월 5... ,필에너지,1.0,9.5,1.0,2023-06-15,2.0,"2차전지 장비 전문기업 필에너지 코스닥 도전오버행 막고 몸값은 낮추고...IPO 투심 잡을까필에너지가 코스닥 상장에 도전한다. [사진 필에너지][이코노미스트 마켓in 김연서 기자] 2차전지가 차세대 먹거리로 떠오르면서 최근 코스닥 상장(IPO)에 도전하는 2차전지 장비 업체 필에너지가 투자자들의 이목을 끌고 있다. 2대주주 삼성SDI의 전폭적 지원을 받고 있다는 점과 비교적 합리적으로 몸값을 설정했다는 점에서 긍정적인 평가가 나온다. 최근에는 해외 투자 수요가 늘면서 필에너지의 IPO 흥행 가능성이 점쳐지는 모양새다. 15일 투자은행(IB) 업계에 따르면 필에너지는 오는 6월 29일부터 30일까지 기관투자자를 대상으로 수요예측을 진행한다. 7월 5~6일 일반 청약이 예정돼있다. 상장주관사는 미래에셋증권이다. 필에너지는 OLED(유기발광다이오드) 디스플레이 공정용 장비 제조사 필옵틱스의 자회사다. 2독자적인 레이저 공정 기술을 기반으로 레이저 노칭(Laser Notching) 장비를 양산 및 공급하고 있다. 신공정으로 분류되는 스태킹(Stacking) 설비 개발·납품도 진행 중이다.필에너지는 2대주주(지분 20%) 삼성SDI로부터 전폭적 지원을 받고 있다. 필에너지는 2020년 모회사 필옵틱스로부터 물적 분할해 설립됐다. 같은 해 9월 삼성SDI는 50억원 규모의 제3자 배정 유상증자로 필에너지에 투자했다. 앞서 삼성SDI는 2015년부터 필에너지 모회사인 필옵틱스와 협력을 통해 스태킹 신공정 장비(Z-Stacking 설비)를 공동으로 개발하기도 했다.삼성SDI와의 파트너십 효과는 실적에서 드러났다. 설립 초기였던 2020년 필에너지의 매출액은 174억원을 기록했다. 지난 2022년에는 매출액 1897억원을 기록하며 10배 이상 매출 규모가 커졌다. 필에너지는 올해 1분기 매출액 730억원, 영업이익은 75억원을 기록하며 순항 중이다. 필에너지는 상장 이후에도 삼성SDI와의 긴밀한 협력을 강화하면서 동시에 신규 개발에 속도를 낼 계획이다.몸값이 비교적 합리적이라는 점은 투자자들에게 매력 요소로 꼽힌다. 필에너지는 2차전지 업체 중 주가수익비율(PER)이 40배를 넘지 않는 종목들만 선별해 기업가치를 산정했다. 일부 2차전지 업체들의 PER이 50배를 웃도는 상황에서 과도한 욕심을 자제한 것으로 풀이된다. 필에너지는 2차전지 장비 업체 중 피엔티(17.4배), 에이프로(32배), 엔시스(30.1배)를 비교기업으로 선별해 IPO 몸값을 도출했다. 이를 통해 산정한 필에너지의 공모 주식수는 총 281만 2500주, 희망 공모가 범위는 2만6300~3만원, 총 공모금액은 740억~844억원이다. 희망 공모가 기준 상장 후 시가총액은 약 2824억원으로 예상된다. 상장 후 일정 기간 주식을 매도할 수 없도록 하는 보호예수비율도 72%로 높기 때문에 오버행(대규모 매도 물량) 우려가 적을 것으로 보인다.해외 기관 투자자 사이에서도 필에너지에 대한 관심이 높아지고 있다. IB업계에 따르면 필에너지는 지난 5월 29일부터 6월 2일까지 싱가포르와 홍콩에서 투자설명회(DR)를 개최했다. 업계에 따르면 이번 DR은 해외 기관들의 요청으로 진행됐다. 필에너지는 현지 기관들과 1대1 미팅을 진행하고 IPO 청약 참여를 독려한 것으로 알려졌다. IB업계에서는 해외 기관이 투자에 나설 경우 상장 후 필에너지의 주가 흐름이 긍정적일 수 있을 것이란 전망이 나온다. IB업계 관계자는 “해외 기관들이 적극적으로 투자할 경우 상장 이후 주가 흐름도 긍정적일 것으로 보인다”고 말했다. 김광일 필에너지 대표이사는 “독보적인 기술력으로 바탕으로 핵심 고객사와 동반성장을 도모하고 있고, 상장 후에는 사업 영역 확장을 통해 EV용 배터리 장비 시장을 선도해 나갈 것”이라고 밝혔다.",2023-06-15 17:35:00,10.0,True
36,IPO,기술특례상장,2023-06-15,시사위크,상장 첫날 '상한가'… 아쉬움 털어버린 큐라티스,http://www.sisaweek.com/news/articleView.html?idxno=205523,"[""상한가"", ""기술특례 상장"", ""평가지정기관"", ""코스닥 상장예비심사"", ""증권신고서""]",기술특례 상장을 추진하고 나선 큐라티스는 지난해 3월 기술성 평가지정기관의 평가를 거쳤으며 같은 해 8월 코스닥 상장예비심사를 청구해 올해 1월 통과했다. 이어 지난 4월 증권신고서를 제출하고 본격적인 상장... ,큐라티스,1.0,9.5,1.0,2023-06-15,2.0,,2023-06-15 16:00:00,3.0,True
37,IPO,IPO 주관,2023-06-15,www.newsfreezone.co.kr,"두산로보틱스 IPO, 투자자 주목 받는 이유",http://www.newsfreezone.co.kr/news/articleView.html?idxno=477614,"[두산로보틱스 IPO], [투자자], [유가증권시장 상장], [상장예비심사], [한국거래소]",IPO)를 목표로 한국거래소에 유가증권시장 상장을 위한 예비심사를 청구하면서 투자자들의 이목을 끌어모으고 있다. 9일 한국거래소에 따르면 두산로보틱스가 이날 한국거래소에 상장예비심사를 청구했다. 대표주관... ,두산로보틱스,1.0,8.5,1.0,2023-06-15,2.0,,2023-06-15 09:54:00,42.0,True
38,IPO,IPO 주관,2023-06-15,서울경제,"[시그널] 7개월 만의 코스피 IPO…넥스틸, 공모 돌입 초읽기",https://www.sedaily.com/NewsView/29QV6TIHF7,"[""넥스틸"", ""상장"", ""증권신고서"", ""기업가치"", ""공모"", ""구주매출"", ""하나증권"", ""코스피"", ""예비심사"", ""IB""]",지난해 12월 바이오노트 상장 이후 멈췄던 코스피 IPO가 약 7개월 만에 재개되는 셈이다. 1990년 설립된... 또 상장 주관사이기도 한 하나증권이 올 1월 제 3자 배정 유상증자 형태로 16억 원을 투자하면서 넥스틸의... ,넥스틸,1.0,8.5,1.0,2023-06-15,1.0,"한국거래소 이달 중 예심 승인 전망늦어도 7월초 증권신고서 제출 계획4000억 원 가까운 기업가치 기대물량 절반에 달하는 구주매출은 부담하나證, IPO 경쟁력 돋보일 기회유정 굴착 및 채유 과정에서 사용되는 유정관(OCTG). 사진 제공=넥스틸[서울경제] 유정용 강관 전문 제조 기업 넥스틸이 이달 말 코스피 시장 상장을 위한 증권신고서를 제출하고 본격적인 공모 절차에 돌입한다.15일 투자은행(IB) 업계에 따르면 한국거래소는 이르면 다음주 말 넥스틸의 상장예비심사를 진행할 예정이다. 넥스틸은 4월 19일 올 처음으로 유가증권시장본부에 예심 신청서를 제출했는데 오는 27일이 거래소가 정한 심사 기한(45영업일)의 마감일이다. IB업계 관계자는 “거래소 상장공시위원회가 늦어도 이달 마지막 주에는 상장예비심사를 진행할 것”이라며 “심사 승인은 무난히 이뤄질 것으로 보인다”고 전했다.넥스틸은 심사 승인 시점에 따라 일정을 소폭 조절할 수 있지만 늦어도 7월 초에는 증권신고서를 제출하고 공모 작업에 착수한다는 계획이다. 지난해 12월 바이오노트 상장 이후 멈췄던 코스피 IPO가 약 7개월 만에 재개되는 셈이다.1990년 설립된 넥스틸은 경상북도 포항과 미국 텍사스주 휴스턴에 공장을 운영하며 원유와 천연가스 등의 굴착에 쓰이는 유정용 고강도 강관을 생산하는 업체다. 2021년 아주IB투자와 원익투자파트너스로부터 465억 원을 투자받으며 약 1000억 원의 기업가치를 인정받았다. 또 상장 주관사이기도 한 하나증권이 올 1월 제 3자 배정 유상증자 형태로 16억 원을 투자하면서 넥스틸의 기업가치를 약 2000억 원으로 평가했다.업계에서는 상장 과정에서 넥스틸이 4000억 원에 가까운 몸값을 인정받을 수 있을 것이라 내다보고 있다. 지난해 넥스틸은 매출 6684억 원, 영업이익 1813억 원으로 사상 최대 실적을 거뒀다. 순이익도 1442억 원으로 지난해 11억 원의 순손실 상태에서 흑자 전환에 성공했다. IB업계 관계자는 “세아제강(306200), 하이스틸(071090), 휴스틸(005010) 같은 강관 업체들의 평균 주가수익비율(PER)이 4배 정도”라며 “공모가 할인율 등을 고려하면 3000억 후반대의 시가총액을 기대해볼 만하다”고 말했다. 2021년 투자 유치 이후 2년 만에 기업가치가 4배 이상 커지는 셈이다.높은 구주매출 비중은 흥행 부담으로 작용할 수 있다. 구주매출로 발생한 돈은 회사가 아니라 기존 대주주에게 돌아가고 이를 위해 기업 가치를 과도하게 평가할 수 있기 때문이다. 넥스틸이 공개한 예비심사청구개요에 따르면 넥스틸은 700만 주를 공모할 예정인데 상장 예정 주식 수는 총 2600만 2000주다. 현재 넥스틸의 발행 주식이 2235만 2000주라는 점을 고려하면 공모 물량의 절반 가까이가 구주매출로 추정된다. 다만 넥스틸의 주주 구성이 오너 일가 72.8%, 2대 주주인 넥스틸홀딩스 26.7%, 하나증권 0.5%로 단순한 만큼 상장 후 유통 물량을 확보하기 위해 구주매출이 불가피한 측면이 있다.한편 하나증권은 이번 넥스틸 상장으로 2016년 LS전선아시아(229640) 이후 7년 만에 코스피 상장 레코드를 쌓게 된다. 단독 주관으로는 2012년 하나대투증권 시절 SBI모기지 상장 이후 11년 만이다. 연초 취임한 강성묵 하나증권 대표가 주식발행시장(ECM) 등 전통적 IB부문을 강화하기로 선언했는데 이번 넥스틸 상장을 계기로 향후 ‘대어’급 경쟁에도 뛰어들겠다는 계획이다.하나증권은 코스닥 시장에서도 오픈놀·이노시뮬레이션 등 2곳의 공모 절차를 진행 중이고 코스닥 신규 상장을 위해 예비심사를 신청한 기업(리츠·스팩 제외)도 현재 5곳에 달해 올 IPO 시장에서 존재감이 두드러지는 증권사가 될 것으로 전망된다. 하나금융25호스팩(435620)(430억원 규모)은 스팩 제도 도입 후 대형 스팩으로는 처음으로 기업 합병을 진행 중이기도 하다.",2023-06-15 16:49:00,40.0,False
39,IPO,상장 철회,2023-06-15,더벨,[더벨]대형스팩 상장 '재도전'…NH 흥행에 KB도 '기대',https://www.thebell.co.kr/free/content/ArticleView.asp?key=202306130932041360106337,"""대형스팩"", ""상장"", ""기관 수요예측"", ""NH스팩29호"", ""경쟁률""",13일 투자은행(IB)업계에 따르면 올해 3월 상장을 철회했던 NH스팩29호가 이달 기관 수요예측을 추진해 넉넉한 수요를 모았다. NH스팩29호는 지난 7~8일 진행된 기관 수요예측에서 70대 1의 경쟁률을 거뒀다. 국내외... ,nh,1.0,8.5,1.0,2023-06-15,1.0,,2023-06-15 07:28:00,16.0,False
40,IPO,IPO 수요예측,2023-06-15,더벨,"[더벨][두산로보틱스 IPO]로보틱스에 사활 건 두산, 전량 신주 모집 '강수'",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202306121551548160104339,"""두산로보틱스"", ""IPO"", ""전량 신주 모집"", ""수급"", ""발행 규모""",IPO에서 새로 발행하는 주식수는 상장예정 주식수의 15% 미만인 셈이다. 금융투자업계 관계자는 “지난해 하반기부터 공모주의 수요예측 및 청약 흥행에 있어 수급의 영향이 절대적으로 커지고 있어 발행 규모를 최대한... ,두산,1.0,8.0,1.0,2023-06-15,2.0,,2023-06-15 13:12:00,77.0,True
41,IPO,기술특례상장,2023-06-15,머니투데이,상장 1주년 앞둔 보로노이…임직원 스톡옵션 10배 평가차익 기대,http://news.mt.co.kr/mtview.php?no=2023061508384799754,"[보로노이], [스톡옵션], [행사가], [표적치료제] 등이 이번 경제 뉴스에서 중요한 키워드입니다.",즉 '상장일로부터 1년 후'가 곧 다가와서다. 올해 보로노이 주가는 2020년 기술수출한 치료제 후보물질에... 보로노이는 작년 6월 24일 유니콘 특례로 코스닥 시장에 상장했다. 단 24일은 주식시장 휴장일인 만큼... ,보로노이,1.0,8.0,1.0,2023-06-15,1.0,"스톡옵션 행사 시한, 올해 말~내년 초즉시 현금화 미지수…""연내 美 기술이전 1상 결과 발표""표적치료제 개발업체 보로노이 임직원들이 '주식매수선택권(스톡옵션)' 행사로 쏠쏠한 차익을 거둘 것으로 기대된다. 이들이 스톡옵션을 행사할 수 있는 시기, 즉 '상장일로부터 1년 후'가 곧 다가와서다. 올해 보로노이 주가는 2020년 기술수출한 치료제 후보물질에 대한 호평 등에 힘입어 오름세를 보였다. 최근 주춤해지긴 했지만 여전히 스톡옵션 행사가가 주가의 10분의 1 수준에 불과하다. 15일 바이오 업계에 따르면 보로노이 임직원들은 오는 24일부터 스톡옵션을 행사할 수 있다. 작년 상장하면서 기존 주주들의 지분 희석 부담을 줄이고자 임원 및 핵심인력이 보유한 스톡옵션에 대해 '상장 후 1년간 미행사하겠단' 조건을 제시했기 때문이다. 보로노이는 작년 6월 24일 유니콘 특례로 코스닥 시장에 상장했다. 단 24일은 주식시장 휴장일인 만큼 거래 체결은 26일부터 가능할 전망이다.보로노이가 상장 전 임직원들에 부여한 스톡옵션은 지난 3월 말 미행사수량 기준 총 113만771주다. 2017년 12월에 1차로 88만2480주, 2019년 1월에 2차로 24만8291주가 부여됐다. 이중 오는 24일부터 주식으로 전환 가능한 물량의 비중이 91%에 달한다. 1차 부여분 전량(88만2480주)과 2차 부여분 일부(14만3782주)다. 또 1차 부여분은 올해 12월 26일, 2차는 내년 1월 17일까지 행사가 이뤄져야 한다.스톡옵션 행사가는 △1차 부여분 4500원 △2차 부여분 4만1200원이다. 보로노이 주가는 전일 종가 기준 4만2400원이다. 이를 감안할 때 2차보단 1차로 부여된 스톡옵션의 행사가 이뤄질 유인이 크다. 2차 부여분은 스톡옵션 행사가가 현 주가와 큰 차이가 없지만, 1차 부여분은 10분의 1 수준이어서다.  행사가가 4500원인 스톡옵션은 김대권 대표 17만8480주, 우상진 최고재무책임자(CFO·이사) 17만8480주, 최환근 전 비투에스바이오 대표  26만7720주, 김남두 전 보로노이바이오 대표 8만9240주, 손정범 전 보로노이바이오 이사 8만9240주, 직원 3명 총 7만9320주씩 보유하고 있다. 비투에스바이오와 보로노이바이오는 지난달 흡수합병된 보로노이의 자회사들이다. 즉 김 대표, 우 이사 등 임직원 8명은 40억원 정도를 들여 374억원 규모 보로노이 주식을 확보할 수 있는 것이다. 평가차익만 334억원이다. 현금으로 차익을 거두길 원하면 스톡옵션을 행사한 뒤 주식을 시장에 팔면 된다.다만 바로 이들이 현금화에 나설지는 미지수다. 보로노이 주가가 상승세를 이어갈 경우 이들이 기대할 수 있는 차익이 커지기 때문이다. 보로노이는 상장 첫날 3만6000원으로 시작해 2만9350원에 장을 마쳤다. 주가는 지난 3월까지도 2만원대에 머물었지만, 지난 4월부터 4만~5만원대를 오가기 시작했다. 성과에 대한 기대감이 반영된 결과다.  당시 미국 주식 리서치 기관들은 나스닥 상장사 오릭파마슈티컬즈(ORIC)의 목표주가를 줄줄이 높였다. 배경으로는 보로노이에서 도입한 비소세포폐암 치료제 후보물질 VRN07에 대한 기대감이 꼽혔다. 오릭은 2020년 10월 보로노이로부터 VRN07을 기술도입했다. 총 6억2100만달러(약 8200억원) 규모다. VRN07은 ORIC-114로 이름을 바꾸고 작년 3월부터 글로벌 임상 1a/b상을 진행하는 중이다. VRN07은 EGFR/HER2 exon20 돌연변이로 발생하는 비소세포폐암에 대한 정밀표적치료제다. 비소세포폐암의 30~50% 환자에서 발생하는 뇌 전이 폐암 비임상 모델에서 경쟁 약물보다 우수한 효과를 확인했다. 미국 주식 리서치 기관 H.C 웨인라이트에서 당시 컬리넌 온콜로지의 지팔러티닙, 블루프린트의 BLU-451과 비교해 ORIC-114의 차별점이 뚜렷하다고 언급하기도 했다. 특히 올 하반기 임상 진전도 앞뒀다. 오릭이 ORIC-114 임상 1상 결과를 발표하겠단 계획을 전해서다. 보로노이가 높은 뇌혈관 장벽(BBB) 투과율을 기반으로 다양한 항암제를 개발하고 있는 만큼, VRN07이 임상 1상에서 만족스러운 데이터를 확보할 경우 후속 파이프라인에 대한 기대감은 더 커질 것으로 관측된다. 보로노이 주가에도 긍정적 영향을 줄 수 있다. 보로노이 관계자는 ""스톡옵션 행사는 개인 권한으로 개별 판단에 따라 이뤄질 것""이라며 ""자사는 회사의 성장에 강한 자신감을 갖고 있다""고 강조했다. ",2023-06-15 14:54:00,29.0,False
42,IPO,프리 IPO,2023-06-15,더벨,"[더벨][IPO 모니터]의약품 플랫폼사 블루엠텍, '테슬라 트랙' 왜 선택했나",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202306130908030000102326,"""의약품"", ""블루엠텍"", ""프리IPO"", ""RCPS"", ""상장전투자""",그간 외형 성장을 위해 프리IPO(상장전투자)를 RCPS로 유치하곤 했다. 2020년 처음으로 106만주의 RCPS를 발행한 후 2022년 7월 약 252만주까지 불어났다. RCPS는 IPO를 추진하는 과정에서 기업에 부담이 된다. 상장기업이... ,블루엠텍,1.0,8.0,1.0,2023-06-15,1.0,,2023-06-15 07:28:00,26.0,False
43,IPO,상장예비심사,2023-06-15,뉴스1,제주 향토기업 3곳 상장 초읽기…민선 8기 '상장기업 육성·유치' 성과,https://www.news1.kr/articles/5077086,"[제주], [상장], [유망기업], [지원 프로그램], [지역경제], [성장], [상장예비심사], [이전], [준비], [기업공개]","상장예비심사는 기업들이 증권거래소에 기업공개를 하기 위해 거치는 심사로, 이를 통과하면 상장까지 일정상 차이는 있지만 사실상 상장이 확정된 것과 같다. 심사는 통상 45일(영업일 기준) 가량 걸린다. 이와 함께... ",제주향토기업,1.0,8.0,1.0,2023-06-15,1.0,"이르면 연내 상장 예비심사 신청…제주이전 예정기업 2곳도 상장 진행중도,  ""유망기업 증시 입성 산업 경쟁력 강화로 지역경제 규모 확대 기대""제주특별자치도는 지난 4월부터 진행중인 상장지원 프로그램 지원 대상 향토기업 10곳 중 3곳이 이르면 연내, 늦어도 내년 상반기내 상장 예비심사를 신청할 계획이라고 15일 밝혔다. 오영훈 제주도지사가 지난해 중소기업중앙회(회장 김기문)의 2022 중소기업 리더스포럼 개막식에 참석해 제주의 기업환경을 설명하고 있다.(제주도청 제공)/뉴스1(제주=뉴스1) 강승남 기자 = 제주지역 성장유망기업 3곳이 증권거래소 상장 절차를 밟는다.민선8기 제주도정의 핵심 공약인 '상장기업 20개 육성·유치'가 가시적 성과를 내고 있다는 평가다.15일 제주특별자치도에 따르면 지난 4월부터 진행중인 상장지원 프로그램 지원 대상 향토기업 10곳 중 3곳은 이르면 연내, 늦어도 내년 상반기내 상장 예비심사를 신청할 것으로 알려졌다.앞서 제주도는 상장지원 프로그램 대상기업으로 △㈜네이처모빌리티 △㈜메이크어베러 △㈜모노리스 △㈜미스터밀크 △㈜제농 S&T; △㈜제우스 △㈜제이아이엔시스템 △㈜피앤아이컴퍼니(코넥스 상장기업) △㈜케어식스 △유씨엘㈜ 등 10곳을 확정하고 상장까지 단계별 지원을 하고 있다.상장예비심사는 기업들이 증권거래소에 기업공개를 하기 위해 거치는 심사로, 이를 통과하면 상장까지 일정상 차이는 있지만 사실상 상장이 확정된 것과 같다. 심사는 통상 45일(영업일 기준) 가량 걸린다.이와 함께 제주도와 업무협약을 맺어 제주로 본사 이전을 추진하는 기업 중 2곳도 현재 상장을 준비하는 것으로 전해졌다.이와 함께 제주 본사 이전을 추진하고 있는 전기아이피는 상장사인 ㈜위메이드가 모회사다. 최명동 제주도 경제활력국장은 ""상장 의지가 있고, 역량이 뒷받침되는 기업을 맞춤형으로 지원해 상장가능성을 높이는데 주력하고 있다""며 ""제주지역 유망 기업들이 증시 입성을 통해 성장하고 산업 경쟁력을 강화하면 지역경제 규모도 키울 것으로 기대한다""고 말했다.한편 제주에 본사를 둔 상장기업은 모두 9곳이다. 이 가운데 카카오, 제주항공, 바다로19호선박투자회사, 롯데관광개발, 제주은행, 쏘카 등 6곳은 코스피에 상장됐다.또 제주반도체와 제주맥주 2곳은 코스닥에, ㈜피앤아이컴퍼니는 코넥스에 각각 상장됐다.",2023-06-15 07:00:00,23.0,False
44,IPO,상장 연기,2023-06-15,핀포인트뉴스,"서호성 케이뱅크 행장, IPO 활기 흐름 탈까...상장 여부 관심, 실적 급감은 악...",https://www.pinpointnews.co.kr/news/articleView.html?idxno=201873,"[""케이뱅크"", ""IPO"", ""상장"", ""실적"", ""급감""]",올해 초 상장을 연기했던 케이뱅크도 이러한 흐름을 타고 상장에나설지지 업계의 관심이 모이고 있다. 15일 금융권에 따르면 케이뱅크는 적절한 상장 시기를 두고 시장 상황을 살펴보고 있다. 케이뱅크는 지난해 9월... ,케이뱅크,1.0,8.0,1.0,2023-06-15,2.0,,2023-06-15 13:48:00,21.0,True
45,IPO,상장예비심사,2023-06-15,digitalchosun.dizzo.com,"상장 앞둔 코어라인소프트, 캐나다에 의료 AI 깃발 꽂는다",http://digitalchosun.dizzo.com/site/data/html_dir/2023/06/15/2023061580265.html,"[""코어라인소프트"", ""의료 AI"", ""FDA"", ""상장 예비심사"", ""합병""]","CAD’로 국내 최초, 전 세계 5번째로 미국 식품의약국(FDA) 허가를 획득했다. 현재 신한제7호스팩과의 합병을 통해 코스닥 시장 상장을 준비 중이며, 지난 1일 한국거래소로부터 상장 예비심사 승인을 받았다.",코어라인소프트,1.0,8.0,1.0,2023-06-15,1.0,,2023-06-15 17:58:00,15.0,False
